직업코드,직업명,직업분류,NCS능력단위명,NCS능력단위정의,NCS대분류,NCS중분류,NCS소분류,능력단위코드
K000001185,자동차공학기술자,기계·로봇공학 기술자 및 시험원,단조·압출·인발,단조 성형 품질유지보수란 단조성형 설비 및 금형을 파악하고 작업조건을 설정하여 단조성형 작업을 수행후 품질을 유지보수하는 능력이다.,재료,금속재료,금속가공,1601030216
K000001185,자동차공학기술자,기계·로봇공학 기술자 및 시험원,단조·압출·인발,인발성형 품질유지보수란 인발성형 설비 및 금형을 파악하고 작업조건을 설정하여 인발성형 품질유지보수를 수행하는 능력이다.,재료,금속재료,금속가공,1601030220
K000001185,자동차공학기술자,기계·로봇공학 기술자 및 시험원,열간압연,"열간압연 공정설계란 고객의 요구조건에 맞는 금속 열간압연 제품을 생산하기 위하여 제품의 종류 및 물성을 결정하고 투입소재, 압연 단위 및 제조공정을 설계하는 능력이다.",재료,금속재료,금속재료제조,1601020301
K000000876,전기감리기술자,전기·전자공학 기술자 및 시험원,플랜트전기설비시공,"플랜트전기설비 공사관리는 계획된 공사가 원활히 진행되도록 노무, 예산,공정과 기자재 구매 등 공사를 전반적으로 관리하는 능력이다.",건설,플랜트,플랜트시공,1404020202
K000000876,전기감리기술자,전기·전자공학 기술자 및 시험원,전기철도설계·감리,"전기철도 공사준공검사란 설계도서 및 관련 규정에 따라 적정한 시공이 되었는지 확인하고, 발주자가 요구한 공사 목적물이 향후 정상적인 운영이 가능한지를 최종검사하고 확인하는 능력이다.",전기·전자,전기,전기철도,1901090111
K000000876,전기감리기술자,전기·전자공학 기술자 및 시험원,내선공사,피난설비공사란 소방대상물의 화재발생시 피난 및 대피를 위한 유도등설비 및 무선통신보조설비를 시공하는 능력이다.,전기·전자,전기,전기공사,1901070132
K000001202,"전기계측제어기술자(전기패널, 계장, 공정자동화전기 등)",전기·전자공학 기술자 및 시험원,해양플랜트계장설계,"해양플랜트 계장장비 구매사양서 작성이란, 프로젝트 요구사항에 만족하는 해양플랜트 계장 장비가 필요 시점에 입고될 수 있도록 사양서를 검토하여 견적요청서와 기술평가서, 구매사양서를 작성하는 능력이다.",건설,해양자원,해양플랜트설계·설치·운용,1408031007
K000001202,"전기계측제어기술자(전기패널, 계장, 공정자동화전기 등)",전기·전자공학 기술자 및 시험원,해양플랜트계장설계,"해양플랜트 계장설계 절점(설계 계획) 수립이란, 계장설계의 도면, 자재, 공사 시수를 효율적으로 관리하여 설계 기간 내에 발주처가 요구하는 설계품질을 확보할 수 있도록 계획을 수립하는 능력이다.",건설,해양자원,해양플랜트설계·설치·운용,1408031002
K000001202,"전기계측제어기술자(전기패널, 계장, 공정자동화전기 등)",전기·전자공학 기술자 및 시험원,해양플랜트계장설계,"해양플랜트 계장 장비 배치도 작성이란, 해양플랜트 계장 장비의 설치 및운전, 유지보수 등이 용이한 최적의 위치를 선정하여 배치도를 작성하는능력이다.",건설,해양자원,해양플랜트설계·설치·운용,1408031008
K000007491,전기안전기술자,전기·전자공학 기술자 및 시험원,전기저장장치설치,"전기저장장치 설비공사란 전기저장장치를 현장에 시공하기 위하여 전기설비, 정보통신설비, 소방설비를 시공하는 능력이다.",전기·전자,전기,전기저장장치,1901120205
